iter	Passed	Remaining
196	433	1767
197	436	1766
198	437	1762
199	439	1759
200	441	1756
201	443	1754
202	445	1750
203	447	1747
204	449	1745
205	452	1742
206	453	1738
207	456	1736
208	457	1732
209	459	1730
210	462	1727
211	463	1724
212	465	1721
213	468	1719
214	470	1717
215	472	1715
216	474	1712
217	476	1709
218	478	1706
219	480	1703
220	482	1701
221	484	1699
222	486	1696
223	488	1693
224	490	1689
225	492	1686
226	494	1683
227	496	1680
228	498	1679
229	500	1677
230	502	1674
231	504	1671
232	507	1669
233	509	1667
234	510	1663
235	513	1662
236	515	1661
237	518	1658
238	519	1655
239	521	1652
240	523	1649
241	525	1647
242	528	1645
243	530	1642
244	532	1641
245	534	1639
246	536	1635
247	538	1633
248	540	1630
249	542	1627
250	544	1624
251	546	1621
252	548	1618
253	549	1615
254	551	1612
255	554	1610
256	556	1608
257	558	1606
258	560	1603
259	562	1599
260	564	1598
261	566	1594
262	568	1591
263	569	1588
264	571	1586
265	573	1583
266	575	1581
267	577	1578
268	579	1575
269	581	1573
270	583	1570
271	585	1568
272	587	1565
273	589	1562
274	592	1560
275	594	1558
276	596	1555
277	598	1553
278	600	1551
279	602	1548
280	604	1546
281	606	1544
282	608	1542
283	610	1539
284	612	1536
285	614	1533
286	616	1531
287	618	1528
288	620	1526
289	622	1523
290	624	1521
291	626	1519
292	628	1516
293	630	1514
294	632	1511
295	634	1509
296	636	1507
297	638	1504
298	640	1501
299	642	1499
300	644	1496
301	646	1493
302	648	1491
303	650	1488
304	652	1486
305	653	1483
306	655	1480
307	657	1477
308	659	1475
309	661	1472
310	663	1470
311	665	1468
312	667	1465
313	669	1463
314	671	1460
315	673	1457
316	675	1455
317	677	1452
318	679	1450
319	681	1448
320	683	1446
321	685	1444
322	687	1441
323	690	1439
324	692	1437
325	694	1435
326	696	1432
327	698	1430
328	699	1427
329	701	1424
330	703	1422
331	705	1419
332	707	1417
333	709	1415
334	711	1413
335	714	1411
336	716	1409
337	718	1407
338	720	1404
339	723	1403
340	725	1402
341	727	1400
342	730	1398
343	732	1396
344	734	1394
345	736	1392
346	738	1390
347	741	1388
348	743	1387
349	746	1385
350	747	1383
351	750	1381
352	752	1379
353	754	1377
354	756	1374
355	759	1373
356	761	1371
357	763	1368
358	765	1366
359	767	1365
360	770	1363
361	772	1360
362	774	1359
363	776	1357
364	779	1355
365	781	1353
366	783	1350
367	785	1349
368	787	1347
369	790	1345
370	792	1343
371	794	1340
372	796	1338
373	797	1335
374	799	1333
375	801	1330
376	803	1328
377	806	1326
378	808	1324
379	810	1322
380	812	1320
381	814	1318
382	816	1316
383	819	1314
384	821	1311
385	823	1310
386	825	1308
387	828	1306
388	830	1303
389	832	1301
390	834	1299
391	836	1297
392	838	1295
393	840	1293
394	842	1291
395	844	1288
396	847	1287
397	849	1285
398	851	1283
399	854	1282
400	857	1280
401	858	1277
402	861	1275
403	863	1273
404	865	1271
405	868	1269
406	870	1267
407	872	1265
408	874	1263
409	876	1260
410	878	1259
411	881	1257
412	883	1255
413	885	1253
414	887	1251
415	889	1249
416	891	1246
417	893	1244
418	895	1242
419	898	1240
420	900	1237
421	902	1235
422	904	1233
423	906	1231
424	909	1230
425	911	1227
426	914	1226
427	916	1224
428	918	1222
429	920	1220
430	922	1218
431	925	1216
432	927	1214
433	929	1212
434	931	1209
435	933	1207
436	936	1205
437	938	1203
438	940	1201
439	942	1199
440	944	1197
441	946	1195
442	949	1193
443	951	1191
444	953	1189
445	955	1186
446	957	1184
447	960	1182
448	962	1181
449	965	1179
450	967	1177
451	969	1175
452	971	1173
453	974	1171
454	976	1169
455	978	1167
456	980	1165
457	983	1163
458	985	1161
459	987	1159
460	989	1156
461	991	1154
462	993	1152
463	996	1151
464	999	1149
465	1000	1146
466	1002	1144
467	1004	1142
468	1007	1140
469	1009	1137
470	1011	1135
471	1013	1133
472	1015	1131
473	1017	1129
474	1019	1127
475	1022	1125
476	1023	1122
477	1025	1120
478	1028	1118
479	1029	1115
480	1032	1113
481	1033	1111
482	1035	1108
483	1037	1106
484	1039	1104
485	1041	1101
486	1044	1100
487	1046	1098
488	1048	1095
489	1050	1093
490	1052	1091
491	1054	1088
492	1056	1086
493	1058	1084
494	1060	1082
495	1062	1080
496	1064	1077
497	1067	1075
498	1069	1073
499	1071	1071
500	1073	1069
501	1075	1066
502	1077	1064
503	1079	1062
504	1081	1059
505	1083	1057
506	1085	1055
507	1087	1053
508	1089	1051
509	1091	1048
510	1093	1046
511	1095	1044
512	1097	1041
513	1099	1039
514	1101	1037
515	1103	1035
516	1105	1033
517	1107	1030
518	1109	1028
519	1111	1026
520	1113	1023
521	1115	1021
522	1117	1019
523	1119	1017
524	1121	1014
525	1123	1012
526	1125	1010
527	1127	1008
528	1129	1005
529	1131	1003
530	1133	1001
531	1135	999
532	1137	996
533	1139	994
534	1141	992
535	1143	990
536	1145	987
537	1147	985
538	1149	983
539	1151	980
540	1153	978
541	1155	976
542	1157	974
543	1159	971
544	1161	969
545	1163	967
546	1165	965
547	1167	962
548	1169	960
549	1171	958
550	1173	955
551	1174	953
552	1176	951
553	1178	948
554	1181	947
555	1183	944
556	1185	942
557	1187	940
558	1189	938
559	1191	936
560	1193	933
561	1195	931
562	1197	929
563	1199	927
564	1202	925
565	1203	923
566	1205	920
567	1208	918
568	1210	916
569	1212	914
570	1214	912
571	1216	909
572	1218	907
573	1219	905
574	1221	903
575	1223	900
576	1225	898
577	1227	896
578	1230	894
579	1232	892
580	1234	890
581	1236	887
582	1238	885
583	1240	883
584	1242	881
585	1244	879
586	1246	877
587	1249	875
588	1251	873
589	1253	870
590	1255	868
591	1257	866
592	1259	864
593	1261	862
594	1263	859
595	1265	857
596	1267	855
597	1269	853
598	1271	851
599	1273	848
600	1275	846
601	1277	844
602	1279	842
603	1281	839
604	1283	837
605	1284	835
606	1287	833
607	1289	831
608	1291	828
609	1292	826
610	1295	824
611	1297	822
612	1298	820
613	1300	817
614	1302	815
615	1304	813
616	1306	810
617	1308	808
618	1310	806
619	1312	804
620	1313	801
621	1316	799
622	1318	797
623	1320	795
624	1322	793
625	1324	791
626	1326	789
627	1328	787
628	1330	784
629	1333	782
630	1335	780
631	1336	778
632	1338	776
633	1341	774
634	1343	771
635	1345	769
636	1347	767
637	1349	765
638	1351	763
639	1353	761
640	1355	758
641	1357	756
642	1358	754
643	1360	752
644	1362	749
645	1364	747
646	1366	745
647	1368	743
648	1370	741
649	1372	738
650	1374	736
651	1376	734
652	1378	732
653	1380	730
654	1381	727
655	1383	725
656	1385	723
657	1387	721
658	1389	719
659	1391	717
660	1393	714
661	1395	712
662	1397	710
663	1400	708
664	1402	706
665	1403	704
666	1405	701
667	1407	699
668	1410	697
669	1411	695
670	1414	693
671	1416	691
672	1418	689
673	1420	687
674	1423	685
675	1425	682
676	1426	680
677	1428	678
678	1430	676
679	1432	674
680	1434	671
681	1436	669
682	1438	667
683	1440	665
684	1442	663
685	1444	660
686	1446	658
687	1447	656
688	1449	654
689	1451	652
690	1453	649
691	1455	647
692	1457	645
693	1459	643
694	1461	641
695	1463	639
696	1465	637
697	1467	635
698	1469	632
699	1471	630
700	1473	628
701	1475	626
702	1477	624
703	1478	621
704	1480	619
705	1482	617
706	1485	615
707	1487	613
708	1488	611
709	1491	609
710	1493	606
711	1495	604
712	1496	602
713	1499	600
714	1501	598
715	1503	596
716	1505	594
717	1508	592
718	1510	590
719	1512	588
720	1514	585
721	1516	583
722	1518	581
723	1520	579
724	1521	577
725	1523	575
726	1525	572
727	1527	570
728	1529	568
729	1531	566
730	1533	564
731	1535	562
732	1537	560
733	1539	557
734	1541	555
735	1543	553
736	1545	551
737	1546	549
738	1548	546
739	1550	544
740	1552	542
741	1554	540
742	1557	538
743	1559	536
744	1561	534
745	1564	532
746	1566	530
747	1568	528
748	1570	526
749	1573	524
750	1575	522
751	1577	520
752	1579	517
753	1581	515
754	1583	513
755	1585	511
756	1587	509
757	1589	507
758	1591	505
759	1593	503
760	1594	500
761	1596	498
762	1598	496
763	1600	494
764	1602	492
765	1603	489
766	1605	487
767	1607	485
768	1609	483
769	1611	481
770	1613	479
771	1615	477
772	1617	474
773	1619	472
774	1620	470
775	1622	468
776	1624	466
777	1626	464
778	1628	461
779	1630	459
780	1631	457
781	1633	455
782	1635	453
783	1637	451
784	1639	449
785	1641	446
786	1643	444
787	1645	442
788	1646	440
789	1648	438
790	1650	436
791	1652	434
792	1654	432
793	1656	429
794	1658	427
795	1660	425
796	1662	423
797	1664	421
798	1666	419
799	1668	417
800	1670	415
801	1672	412
802	1674	410
803	1675	408
804	1677	406
805	1679	404
806	1681	402
807	1683	400
808	1685	397
809	1687	395
810	1689	393
811	1691	391
812	1693	389
813	1695	387
814	1697	385
815	1699	383
816	1701	381
817	1703	378
818	1704	376
819	1706	374
820	1708	372
821	1710	370
822	1713	368
823	1714	366
824	1717	364
825	1719	362
826	1720	360
827	1723	357
828	1725	355
829	1726	353
830	1728	351
831	1731	349
832	1732	347
833	1734	345
834	1736	343
835	1738	340
836	1739	338
837	1741	336
838	1743	334
839	1745	332
840	1747	330
841	1749	328
842	1750	326
843	1752	323
844	1754	321
845	1755	319
846	1757	317
847	1759	315
848	1761	313
849	1763	311
850	1765	309
851	1767	306
852	1769	304
853	1771	302
854	1773	300
855	1775	298
856	1777	296
857	1779	294
858	1781	292
859	1782	290
860	1784	288
861	1786	286
862	1788	283
863	1790	281
864	1792	279
865	1793	277
866	1795	275
867	1797	273
868	1798	271
869	1800	269
870	1802	267
871	1804	264
872	1806	262
873	1808	260
874	1810	258
875	1811	256
876	1813	254
877	1815	252
878	1817	250
879	1819	248
880	1821	245
881	1822	243
882	1824	241
883	1826	239
884	1828	237
885	1830	235
886	1832	233
887	1833	231
888	1835	229
889	1837	227
890	1838	224
891	1840	222
892	1842	220
893	1843	218
894	1846	216
895	1847	214
896	1849	212
897	1851	210
898	1852	208
899	1854	206
900	1856	203
901	1858	201
902	1860	199
903	1861	197
904	1863	195
905	1865	193
906	1867	191
907	1868	189
908	1870	187
909	1872	185
910	1874	183
911	1875	181
912	1877	178
913	1879	176
914	1881	174
915	1882	172
916	1884	170
917	1886	168
918	1887	166
919	1889	164
920	1891	162
921	1893	160
922	1894	158
923	1896	155
924	1898	153
925	1899	151
926	1901	149
927	1903	147
928	1904	145
929	1906	143
930	1908	141
931	1910	139
932	1911	137
933	1913	135
934	1914	133
935	1916	131
936	1918	128
937	1920	126
938	1922	124
939	1923	122
940	1925	120
941	1926	118
942	1928	116
943	1930	114
944	1931	112
945	1933	110
946	1934	108
947	1936	106
948	1938	104
949	1939	102
950	1941	100
951	1942	97
952	1944	95
953	1946	93
954	1947	91
955	1949	89
956	1951	87
957	1952	85
958	1954	83
959	1956	81
960	1957	79
961	1959	77
962	1960	75
963	1962	73
964	1963	71
965	1965	69
966	1966	67
967	1968	65
968	1969	63
969	1971	60
970	1972	58
971	1974	56
972	1976	54
973	1977	52
974	1979	50
975	1980	48
976	1982	46
977	1984	44
978	1985	42
979	1987	40
980	1988	38
981	1990	36
982	1991	34
983	1992	32
984	1994	30
985	1996	28
986	1997	26
987	1999	24
988	2000	22
989	2002	20
990	2004	18
991	2005	16
992	2007	14
993	2008	12
994	2010	10
995	2011	8
996	2013	6
997	2014	4
998	2016	2
999	2017	0
